Date_ID,Date,Jour_Semaine,Mois
20260611,2026-06-11,Thursday,June
20260612,2026-06-12,Friday,June
20260613,2026-06-13,Saturday,June
20260614,2026-06-14,Sunday,June
20260615,2026-06-15,Monday,June
20260616,2026-06-16,Tuesday,June
20260617,2026-06-17,Wednesday,June
20260618,2026-06-18,Thursday,June
20260619,2026-06-19,Friday,June
20260620,2026-06-20,Saturday,June
20260621,2026-06-21,Sunday,June
20260622,2026-06-22,Monday,June
20260623,2026-06-23,Tuesday,June
20260624,2026-06-24,Wednesday,June
20260625,2026-06-25,Thursday,June
20260626,2026-06-26,Friday,June
20260627,2026-06-27,Saturday,June
20260628,2026-06-28,Sunday,June
20260629,2026-06-29,Monday,June
20260630,2026-06-30,Tuesday,June
20260701,2026-07-01,Wednesday,July
20260702,2026-07-02,Thursday,July
20260703,2026-07-03,Friday,July
20260704,2026-07-04,Saturday,July
20260705,2026-07-05,Sunday,July
20260706,2026-07-06,Monday,July
20260707,2026-07-07,Tuesday,July
20260709,2026-07-09,Thursday,July
20260710,2026-07-10,Friday,July
20260711,2026-07-11,Saturday,July
20260712,2026-07-12,Sunday,July
20260714,2026-07-14,Tuesday,July
20260715,2026-07-15,Wednesday,July
20260718,2026-07-18,Saturday,July
20260719,2026-07-19,Sunday,July
